,Jahr,"Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Total","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Pocken","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Schar-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Masern","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Typhus,","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Diph-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-",Infektions- und parasitäre Krankheiten | Tuberkulose | Total,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Total,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Epidem.,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Rotlauf,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Syphilis,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Atmungsorgane | Total | Aids,Atmungsorgane | Grippe | Aids,Atmungsorgane | Lungen- | entzün-,Atmungsorgane | Bron- | chitis,Atmungsorgane | Bron- | chitis,Jahr | Bron- | chitis,Neubildungen | Total | chitis,Neubildungen | Krebs (bösartige Geschwülste) | Total,"Neubildungen | Krebs (bösartige Geschwülste) | Magen,",Neubildungen | Krebs (bösartige Geschwülste) | Weibl.,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Nervensystem und Kreislauforgane | Total | Bron-,Nervensystem und Kreislauforgane | Nervensystem | Total,Nervensystem und Kreislauforgane | Nervensystem | Hirn-,Nervensystem und Kreislauforgane | Kreislauforgane | Total,Nervensystem und Kreislauforgane | Kreislauforgane | Herz-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,"Blut, Stoffwechsel 8) | Total | Arterien-","Blut, Stoffwechsel 8) | Anämie, | Leukä-","Blut, Stoffwechsel 8) | Zucker- | krankheit","Blut, Stoffwechsel 8) | Zucker- | krankheit","Ernährungsapparat, Verdauungsorgane | Total | krankheit","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Säuglinge","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Erwach-","Ernährungsapparat, Verdauungsorgane | Magen- | Darm-","Ernährungsapparat, Verdauungsorgane | Blind- | darm-","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose",Harnapparat | Total | zirrhose,Harnapparat | Nieren- | entzün-,Harnapparat | Nieren- | entzün-,Jahr | Nieren- | entzün-,Gewaltsamer Tod | Total | entzün-,Gewaltsamer Tod | Selbst- | tötung,Gewaltsamer Tod | Unfälle | Total,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Sturz,Gewaltsamer Tod | Unfälle | Er-,"Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache",Übrige bekannte Todesursachen | Total | unklare Ursache,Übrige bekannte Todesursachen | Chroni- | scher,Übrige bekannte Todesursachen | Schwanger- | schaft u.,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Alters- | schwäche,Übrige bekannte Todesursachen | Alters- | schwäche,Unbekannte Todesursachen | Arzt | beige-,Unbekannte Todesursachen | Arzt | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Gesamt- | total | nicht bei-
74,1950,111,-,3,13,12,42,41,,1646,1307,1293,339,92,47,,555,44,13,121,...,,2312,,2656,256,1512,367,,1950,8397,7637,3667,716,661,,21124,2116,1229,19008,9371,6854,,1266,378,573,,2453,186,...,329,256,509,,1210,970,,1950,3676,1101,2441,900,797,92,15,738,156,134,46,,3918,86,117,1828,1075,863,,252,108,360,,47372
75,1951*,87,-,5,29,4,18,31,,1675,1326,1309,349,80,69,,567,96,13,113,...,,2329,,3736,1183,1493,431,,1951*,8789,7959,3802,718,743,,22182,2331,1386,19851,9309,7315,,1350,360,667,,2497,149,...,337,218,538,,1171,990,,1951*,3732,1004,2624,895,802,87,13,827,193,104,59,,4016,91,119,1726,1021,1021,,103,47,150,,49952
76,1952,74,-,3,12,7,13,39,,1202,920,908,282,62,49,,623,54,5,119,...,,1899,,2292,257,1132,362,,1952,8688,7912,3652,762,715,,22323,2179,1530,20144,9163,7851,,1319,340,673,,2407,162,...,330,197,568,,1200,967,,1952,3801,1032,2687,1000,882,112,10,858,203,82,52,,3630,73,91,1790,1043,766,,42,23,65,,47624
77,1953,64,-,1,6,11,10,36,,1114,876,861,238,40,50,,631,63,6,115,...,,1809,,3404,1108,1362,374,,1953,8914,8073,3681,748,808,,22992,2164,1287,20828,9262,7951,,1355,349,724,,2413,80,...,337,236,597,,1264,1039,,1953,3824,1061,2679,1015,911,106,5,855,180,84,47,,3664,62,99,1862,1099,744,,27,18,45,,49684
78,1954,86,-,2,29,23,17,15,,1053,826,812,227,36,44,,620,114,5,100,...,,1759,,2547,359,1165,372,,1954,8922,8024,3659,774,842,,23383,2210,1313,21173,9080,8261,,1343,347,670,,2478,62,...,364,209,689,,1216,949,,1954,3854,1115,2650,1075,963,98,18,825,163,89,49,,3533,102,89,1780,1029,685,,55,23,78,,49113
79,1955,61,-,3,17,11,10,20,,1042,844,820,198,33,40,,622,60,6,104,...,,1725,,3185,794,1282,441,,1955,9102,8208,3606,839,880,,23819,2068,1159,21751,9045,8909,,1321,323,694,,2420,91,...,349,188,652,,1164,889,,1955,3956,1074,2809,1130,1021,97,20,903,190,73,53,,3630,64,87,1728,970,684,,27,17,44,,50366
80,1956,43,-,3,10,4,4,22,,936,753,746,183,17,42,,597,59,7,91,...,,1576,,3665,1154,1391,441,,1956,9215,8271,3521,800,892,,24629,2211,1301,22418,9045,9350,,1361,382,698,,2508,105,...,363,177,688,,1143,850,,1956,3908,1086,2767,1125,1037,93,3,851,192,55,32,,3529,84,65,1806,978,718,,13,26,39,,51573
81,1957,67,-,1,17,17,7,25,,869,710,693,159,24,37,,541,42,8,83,...,,1477,,3719,1395,1189,421,,1957,9375,8391,3517,831,961,,24301,2033,1203,22268,8734,9036,,1310,354,643,,2453,94,...,377,158,648,,1009,716,,1957,4086,1071,2959,1310,1162,130,26,840,223,56,37,,3303,68,67,1600,903,599,,18,15,33,,51066
82,1958,31,-,1,4,6,13,7,,761,621,608,140,17,35,,530,17,8,81,...,,1322,,2555,466,1098,373,,1958,9587,8537,3540,802,970,,23746,2044,1249,21702,8585,9247,,1222,328,644,,2444,91,...,338,168,625,,1115,836,,1958,4101,1093,2956,1220,1146,76,3,922,212,52,30,,3160,83,69,1640,948,523,,18,11,29,,49281
83,1959,26,-,2,2,6,11,5,,787,652,640,135,9,28,,561,43,7,94,...,,1374,,2805,741,1132,349,,1959,9751,8606,3567,807,1047,,23699,1960,1179,21739,8660,9410,,1406,391,731,,2509,70,...,402,153,693,,1155,791,,1959,4047,1018,2951,1200,1116,81,9,958,207,78,41,,3239,87,59,1662,926,533,,64,28,92,,50077
84,1960,34,-,1,11,6,2,14,,628,511,503,117,11,13,,534,20,9,80,...,,1196,,3801,1486,1177,387,,1960,9673,8571,3380,875,1077,,24764,2093,1307,22671,9324,9370,,1391,343,726,,2480,62,...,320,128,631,,1127,724,,1960,4213,1016,3096,1455,1303,137,20,933,171,101,29,,3193,95,54,1625,909,421,,200,56,256,,52094
85,1961,41,-,1,5,9,8,18,,584,482,476,102,12,12,,562,26,9,61,...,,1187,,2365,210,1090,354,,1961,9882,8706,3440,871,1097,,24372,2196,1356,22176,8994,9317,,1550,413,862,,2538,74,...,345,149,677,,1060,622,,1961,4460,1001,3369,1525,1404,115,13,1064,193,90,38,,3351,157,47,1695,971,475,,170,69,239,,51004
86,1962,25,-,1,9,8,1,6,,580,465,456,115,4,24,,527,9,2,52,...,,1132,,3353,745,1349,434,,1962,10109,8925,3485,897,1117,,26311,2255,1310,24056,9761,10064,,1783,371,1067,,2780,106,...,346,128,798,,1149,636,,1962,4655,1047,3473,1520,1393,126,8,1150,174,135,50,,3582,177,58,1797,1058,559,,199,72,271,,55125
87,1963,26,-,3,4,11,2,6,,541,445,436,96,10,25,,550,5,10,52,...,,1117,,4204,1330,1354,482,,1963,10213,9015,3434,893,1290,,27154,2503,1492,24651,10187,9892,,1943,407,1154,,2798,59,...,363,120,854,,1095,590,,1963,4563,970,3491,1555,1330,145,84,1149,154,102,37,,3549,208,37,1832,1076,406,,263,90,353,,56989
88,1964,28,-,1,11,5,3,8,,483,425,422,58,7,8,,535,7,7,56,...,,1046,,2643,189,1038,412,,1964,10375,9184,3353,935,1269,,25386,2414,1516,22972,9036,9561,,1833,397,1078,,2798,80,...,379,115,887,,1120,541,,1964,4545,983,3428,1525,1398,118,13,1116,199,134,45,,3478,183,60,1713,963,344,,322,63,385,,53609
89,1965,14,-,-,2,5,1,6,,472,401,398,71,6,15,,518,4,3,49,...,,1004,,3225,470,1201,498,,1965,10654,9378,3394,971,1305,,26837,2526,1595,24311,9707,9984,,1796,396,1055,,2811,61,...,362,104,878,,1100,533,,1965,4520,1077,3321,1435,1304,115,20,1131,151,122,32,,3200,203,40,1597,954,341,,347,53,400,,55547
90,1966,27,-,1,12,6,1,7,,447,358,353,89,10,16,,505,3,4,48,...,,979,,3807,903,1247,519,,1966,10671,9467,3353,1010,1439,,26497,2539,1585,23958,9510,9825,,1874,408,1100,,2796,66,...,351,77,970,,1105,479,,1966,4571,1088,3387,1430,1301,118,16,1171,169,96,38,,3103,197,45,1506,920,303,,373,28,401,,55804
91,1967,13,-,3,3,4,2,1,,444,373,366,71,5,11,,464,5,6,36,...,,921,,2930,299,1080,569,,1967,11093,9780,3425,1011,1519,,26284,2483,1644,23801,9257,9986,,2069,441,1270,,2706,68,...,376,107,831,,948,380,,1967,4653,1052,3488,1700,1458,111,138,1142,157,113,48,,3170,202,35,1569,958,234,,359,9,368,,55142
92,1968,10,-,1,1,7,-,1,,429,354,348,75,6,7,,524,5,3,37,...,,963,,3645,741,1276,613,,1968,11257,9912,3423,1072,1525,,27543,2689,1808,24854,9524,10550,,1979,411,1237,,2785,52,...,386,89,939,,1031,410,,1968,4597,1047,3408,1590,1442,121,31,1140,152,142,42,,3180,...,29,1406,823,299,,393,1,394,,57374
93,1969*,17,-,2,9,3,1,2,,409,341,314,68,...,...,,565,9,...,30,...,,991,,4284,805,1488,696,,1969*,11460,10057,3341,1068,1646,,26498,2832,1840,23666,9400,8841,,2425,467,1619,,2814,41,...,361,88,981,,1224,356,,1969*,4813,1067,3622,1720,1577,115,34,1098,152,124,33,,3025,...,30,1220,...,274,,466,2,468,,58002
94,1970,9,-,-,2,6,1,-,,354,298,273,56,...,...,,625,17,...,46,...,,988,,3938,908,1259,627,,1970,11532,10186,3271,1082,1714,,26062,2742,1868,23320,9057,8961,,2430,546,1567,,2763,35,...,354,93,969,,1235,446,,1970,5089,1150,3785,1880,1694,116,76,1180,160,154,44,,2674,...,24,1126,...,226,,379,1,380,,57091
95,1971,13,-,1,7,3,-,2,,380,309,295,71,...,...,,583,2,...,45,...,,976,,4089,739,1445,692,,1971,12046,10635,3462,1136,1828,,26240,2914,2036,23326,9003,8876,,2557,598,1597,,2643,32,...,329,87,960,,1234,475,,1971,5216,1160,3926,2005,1773,158,69,1214,140,130,60,,2558,...,26,1016,...,210,,297,-,297,,57856
96,1972,6,-,-,2,1,-,3,,337,283,272,54,...,...,,667,-,...,31,...,,1010,,3491,474,1192,679,,1972,12156,10846,3438,1158,1887,,25489,2854,2084,22635,8653,8447,,2564,593,1609,,2727,29,...,410,84,952,,1251,484,,1972,5139,1226,3785,1880,1722,133,32,1191,110,128,58,,2402,...,20,891,...,247,,260,-,260,,56489
97,1973,8,-,1,6,1,-,-,,338,286,269,52,...,...,,647,-,...,33,...,,993,,3894,653,1232,737,,1973,12575,11302,3530,1203,2012,,25447,2827,2083,22620,8681,8358,,2616,576,1660,,2673,20,...,405,87,873,,1259,520,,1973,4828,1191,3536,1700,1451,123,132,1202,146,101,43,,2400,...,15,893,...,206,,304,1,305,,56990
98,1974,8,-,2,3,1,-,2,,328,271,239,57,...,...,,658,-,...,28,...,,994,,3451,340,1179,710,,1974,12333,11024,3280,1178,2067,,25595,2904,2093,22691,8652,8274,,2712,528,1811,,2730,25,...,387,76,940,,1104,424,,1974,4907,1309,3480,1480,1372,93,20,1244,122,118,61,,2288,...,9,786,...,188,,288,1,289,,56403
99,1975,5,-,-,4,-,-,1,,268,214,203,54,...,...,,711,-,...,20,...,,984,,3647,514,1335,689,,1975,12632,11360,3325,1265,2210,,26582,2755,2121,23827,9123,8341,,2061,517,1223,,2396,11,...,371,66,812,,923,324,,1975,4648,1429,3126,1360,1243,93,31,1105,109,93,60,,1730,...,10,607,...,189,,321,-,321,,55924
100,1976,2,-,-,1,1,-,-,,234,184,182,50,...,...,,730,-,...,15,...,,966,,4375,1052,1375,845,,1976,12777,11468,3364,1219,2206,,27357,2693,2115,24664,9755,8349,,1936,539,1111,,2291,2,...,342,66,806,,1043,354,,1976,4452,1397,2970,1305,1188,106,19,1077,123,85,56,,1577,...,5,598,...,204,,320,1,321,,57095
101,1977,1,-,1,-,-,-,-,,200,155,149,45,...,...,,850,-,...,24,...,,1051,,3305,203,1238,777,,1977,12792,11448,3105,1246,2280,,27071,2562,2067,24509,9569,8068,,1952,530,1175,,2242,1,...,373,63,809,,984,337,,1977,4579,1505,2962,1410,1302,93,19,1012,109,112,54,,1442,...,3,519,...,184,,239,1,240,,55658
102,1978,3,-,-,2,1,-,-,,151,136,129,15,...,...,,732,2,...,23,...,,886,,3719,479,1198,944,,1978,13048,11640,3285,1275,2302,,28261,2774,2131,25487,9877,8195,,2036,513,1203,,2330,-,...,382,57,839,,927,346,,1978,4545,1515,2952,1365,1268,85,20,1030,101,78,46,,1653,...,12,455,...,265,,313,-,313,,57718
103,1979,2,-,1,1,-,-,-,,120,98,83,22,...,...,,725,-,...,13,...,,847,,3605,228,1337,832,,1979,12998,11647,3272,1261,2345,,27829,3134,2462,24695,9614,7366,,2071,548,1174,,2294,-,...,310,33,857,,936,315,,1979,4729,1560,3054,1370,1268,85,25,1078,96,115,58,,1775,...,8,453,...,230,,370,-,370,,57454
104,1980,2,-,-,2,-,-,-,,168,137,126,31,...,...,,570,-,...,12,...,,740,,3801,193,1460,823,,1980,13293,11716,3245,1300,2372,,28605,3561,2811,25044,9556,7273,,2284,600,1323,,2340,2,...,339,37,838,,947,294,,1980,4877,1621,3129,1355,1246,87,26,1180,81,127,60,,1745,...,4,481,...,189,,465,-,465,,59097
105,1981,2,-,-,1,1,-,-,,183,146,138,37,...,...,,520,1,...,8,...,,705,,3708,492,1091,893,,1981,14217,12431,3294,1372,2410,,28894,3587,2730,25307,9520,6933,,2291,597,1341,,2158,2,...,305,44,819,,843,237,,1981,4773,1512,3106,1255,1165,79,19,1219,80,155,76,,1761,...,5,387,...,167,,413,-,413,,59763
106,1982,1,-,-,-,1,-,-,,167,144,140,23,...,...,,487,-,...,13,...,,655,,2915,126,737,838,,1982,14351,12509,3274,1426,2521,,28797,3693,2874,25104,9478,6829,,2269,591,1317,,2189,3,...,354,38,812,,778,216,,1982,4905,1574,3136,1335,1192,122,27,1228,70,195,87,,1839,...,9,409,...,197,,506,-,506,,59204
107,1983,1,-,-,-,-,-,1,,152,133,126,19,...,...,,468,-,...,9,...,,621,,3866,689,1021,961,,1983,14736,12744,3199,1531,2602,,28559,3572,2724,24987,9448,6459,,2369,562,1414,,2174,1,...,353,33,799,,864,217,,1983,5291,1621,3455,1250,1159,76,23,1547,103,215,90,,1786,...,4,409,...,264,,488,2,490,,60756
108,1984,1,-,-,1,-,-,-,,117,95,95,22,...,...,,468,-,...,12,...,,586,,3202,127,955,941,,1984,14656,12738,3299,1498,2522,,27766,3629,2763,24137,9077,5740,,2266,636,1282,,2094,4,...,362,33,792,,829,224,,1984,4971,1600,3178,1170,1101,60,17,1432,69,193,60,,1744,...,1,345,...,193,,488,-,488,,58602
109,1985*,2,-,1,-,1,-,-,,122,105,104,17,...,...,,453,-,...,14,...,,577,,3693,288,1161,966,,1985*,15366,13372,3286,1580,2712,,27628,3832,2916,23796,8885,5387,,2349,...,1337,,2011,4,...,307,21,746,,826,258,,1985*,4947,1620,3114,1005,908,79,23,1506,64,213,93,,1696,...,4,...,...,212,,490,-,490,,59583
110,1986,1,-,-,-,-,1,-,,111,93,91,18,...,...,,360,-,...,15,71,,472,,4086,589,1588,962,,1986,16182,14164,3175,1601,2739,,27362,3843,2985,23519,8643,5084,,2318,...,1317,,1963,2,...,290,24,723,,822,228,,1986,4970,1486,3308,1115,1034,63,26,1572,71,176,64,,1347,...,3,...,...,217,,583,-,583,,60105
111,1987,3,-,-,2,1,-,-,,114,97,97,17,...,...,,370,...,...,8,96,,487,,3268,166,1301,980,,1987,16375,...,3242,1645,2645,,26713,...,...,...,...,...,,...,...,1275,,...,...,...,...,17,726,,793,204,,1987,5157,1576,3367,1040,952,65,28,1616,96,214,79,,...,...,5,...,...,...,,...,...,...,,59511
112,1988,1,-,-,-,-,1,-,,104,79,79,25,...,...,,457,...,...,13,173,,562,,3684,231,1571,1097,,1988,16497,...,3238,1643,2673,,27393,...,...,...,...,...,,...,...,1343,,...,...,...,...,28,763,,709,187,,1988,5078,1476,3352,1055,945,78,37,1530,87,250,80,,...,...,8,...,...,...,,...,...,...,,60648
113,1989,0,-,-,-,-,-,-,,77,63,63,14,...,...,,616,...,...,9,279,,693,,3927,274,1597,1164,,1989,16573,...,3217,1572,2658,,27005,...,...,...,...,...,,...,...,1290,,...,...,...,...,17,627,,737,201,,1989,5066,1513,3300,1045,925,92,32,1544,78,253,84,,...,...,3,...,...,...,,...,...,...,,60882
114,1990,1,-,1,-,-,-,-,,79,60,60,19,...,...,,724,...,...,13,349,,804,,5180,1018,1870,1338,,1990,16740,...,3165,1675,2733,,28019,...,...,...,...,...,,...,...,1362,,...,...,...,...,17,643,,698,159,,1990,5294,1467,3505,1105,954,93,65,1686,81,322,99,,...,...,5,...,...,...,,...,...,...,,63739
115,1991,0,-,-,-,-,-,-,,66,46,46,20,...,...,,839,...,...,14,434,,905,,4139,259,1059,1207,,1991,16946,...,3101,1721,2711,,27407,...,...,...,...,...,,...,...,1385,,...,...,...,...,9,672,,758,172,,1991,5338,1544,3473,935,860,65,17,1563,80,321,93,,...,...,1,...,...,...,,...,...,...,,62634
116,1992,1,-,-,1,-,-,-,,70,54,54,16,...,...,,1076,...,...,11,540,,1147,,4297,377,1867,1285,,1992,16934,...,3083,1688,2815,,26941,...,...,...,...,...,,...,...,1406,,...,...,...,...,17,643,,653,162,,1992,5162,1432,3369,920,834,65,27,1554,91,361,100,,...,...,-,...,...,...,,...,...,...,,62302
117,1993,1,-,-,-,-,1,-,,45,36,36,9,...,...,,1062,...,...,17,578,,1108,,4733,412,2175,1336,,1993,16798,...,3113,1643,2836,,27116,...,...,...,...,...,,...,...,1381,,...,...,...,...,9,613,,685,149,,1993,4769,1416,2970,780,723,48,16,1602,72,383,111,,...,...,-,...,...,...,,...,...,...,,62512
118,1994,0,-,-,-,-,-,-,,40,27,27,13,...,...,,1103,...,...,14,637,,1143,,4488,271,2042,1371,,1994,16692,...,2976,1595,2747,,26679,...,...,...,...,...,,...,...,1336,,...,...,...,...,19,623,,669,120,,1994,4845,1494,3160,750,679,50,27,1563,89,191,93,,...,...,-,...,...,...,,...,...,...,,61987
119,1995,0,-,-,-,-,-,-,,46,19,19,27,...,...,,1065,...,...,2,606,,1111,,3803,164,1246,1568,,1995,15328,...,2708,1554,2549,,26183,...,...,...,...,...,,...,...,1732,,...,...,...,...,21,583,,756,123,,1995,4577,1419,2959,755,692,34,36,...,...,199,...,,...,...,-,...,...,...,,...,...,...,,63387
120,1996,0,-,-,-,-,-,-,,42,23,23,19,...,...,,810,...,...,5,432,,852,,3768,216,1137,1664,,1996,15107,...,2646,1415,2555,,25756,...,...,...,...,...,,...,...,2004,,...,...,...,...,15,624,,680,117,,1996,4336,1431,2767,660,616,37,14,...,...,138,...,,...,...,-,...,...,...,,...,...,...,,62637
121,1997,2,-,-,1,-,-,1,,42,22,22,20,...,...,,796,...,...,2,240,,840,,4477,323,1581,1763,,1997,15160,...,2641,1436,2571,,25994,...,...,...,...,...,,...,...,1663,,...,...,...,...,14,580,,677,99,,1997,4336,1341,2847,650,587,45,22,...,...,148,...,,...,...,-,...,...,...,,...,...,...,,62839
122,1998,1,-,-,-,-,-,1,,31,17,17,14,...,...,,668,...,...,-,159,,700,,4558,362,1613,1777,,1998,15115,...,2667,1344,2674,,25445,...,...,...,...,...,,...,...,1695,,...,...,...,...,18,549,,688,97,,1998,4253,1371,2755,645,597,37,15,...,...,127,...,,...,...,-,...,...,...,,...,...,...,,62569
123,1999,0,-,-,-,-,-,-,,27,18,18,9,...,...,,661,...,...,-,130,,688,,4725,286,1716,1902,,1999,15057,...,2554,1258,2632,,25453,...,...,...,...,...,,...,...,1620,,...,...,...,...,12,553,,658,82,,1999,4213,1296,2774,635,583,46,12,...,...,143,...,,...,...,1,...,...,...,,...,...,...,,62503
124,2000,0,-,-,-,-,-,-,,33,25,25,8,...,...,,680,...,...,-,127,,713,,4625,287,1847,1679,,2000,15978,...,2651,1337,2825,,24910,...,...,...,...,...,,...,...,1558,,...,...,...,...,16,500,,...,...,,2000,4560,1378,3010,655,592,33,36,...,...,172,...,,...,...,-,...,...,...,,...,...,...,,62528
125,2001,0,-,-,-,-,-,-,,22,19,19,3,...,...,,628,...,...,-,112,,650,,3730,32,1380,1561,,2001,15389,...,2668,1333,2775,,24148,...,...,...,...,...,,...,...,1603,,...,...,...,...,20,560,,...,...,,2001,4470,1330,2936,...,544,25,46,...,...,204,...,,...,...,1,...,...,...,,...,...,...,,61228
126,2002,0,-,-,-,-,-,-,,24,10,10,14,...,...,,603,...,...,-,94,,627,,4062,83,1607,1588,,2002,15219,...,2518,1340,2703,,23738,...,...,...,...,...,,...,...,1618,,...,...,...,...,19,601,,...,...,,2002,4225,1446,2590,...,513,30,8,...,...,189,...,,...,...,3,...,...,...,,...,...,...,,61768
127,2003,0,-,-,-,-,-,-,,17,...,...,...,...,...,,658,...,...,-,90,,675,,4145,66,1558,1781,,2003,15429,...,...,1398,2796,,23894,...,...,...,...,...,,...,...,1835,,...,...,...,...,...,573,,...,...,,2003,4126,1269,2670,...,546,36,30,...,...,187,...,,...,...,...,...,...,...,,...,...,...,,63070
128,2004,0,-,-,-,-,-,-,,16,...,...,...,...,...,,579,...,...,-,82,,595,,3848,68,1421,1608,,2004,15430,...,...,1379,2796,,22451,...,...,...,...,...,,...,...,1563,,...,...,...,...,...,541,,...,...,,2004,4006,1284,2535,...,510,41,17,...,...,187,...,,...,...,...,...,...,...,,...,...,...,,63070
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1877/80,4638.5,115.25,1184.25,291.75,979.5,1454.25,613.5,,6913.25,5749.75,...,1163.5,...,...,,762,...,146,46,...,,12313.75,,8991.25,78.25,4738,...,,1877/80,...,...,...,...,...,,9036,...,2175.75,...,...,...,,952.5237500000001,336,34,,6600,4047.75,513.75,240,59.75,442.25,,760,...,,1877/80,2529.25,659.5,1663.25,148.5,...,...,...,496,379.75,206.5,104.75,,...,228.5,713.5,...,...,...,,1168,10966.75,12134.75,,64134.5
131,1881/85,4080.4,140.6,246.8,310.8,841,1847.2,694,,7777.8,6218.6,...,1559.2,762.8,532,,842,...,152.6,73.2,...,,12700.2,,9399.6,70.4,4971.6,...,,1881/85,3080.6,2971.4,1582.2,139.6,...,,9314.6,...,2366.4,...,...,...,,812.24,260.6,51.8,,6163.8,3640.8,602.8,251.6,64.2,425.6,,968.4,...,,1881/85,2438.6,670.6,1622.8,158.2,...,...,...,480.4,354.2,145.2,85.4,,8655.56,287.4,708.8,...,...,...,,370,7178.4,7548.4,,61082
132,1886/90,2814.8,49.6,272.2,398.4,469.6,990.6,634.4,,8161.4,6394.4,...,1767,789.8,565.4,,757.4,...,152,59.6,...,,11733.6,,9805.6,161.8,5219.6,...,,1886/90,3469.2,3343.6,1805,149.4,...,,9902,...,2488,...,...,...,,881.4,260.4,78.6,,5729,3282.6,476.2,258,93.8,402.6,,1160,...,,1886/90,2358,644.6,1589.8,154.4,...,...,...,500,316.4,123.6,79.8,,9048.6,255,617.8,3483.8,...,...,,332.4,5330,5662.4,,59749.8
133,1891/95,3037.4,25.6,200.4,487.6,336.2,1400,587.6,,8203.6,6153.4,...,2050.2,830.8,607.8,,824.8,...,163.4,99.6,...,,12065.8,,10562.8,383,5279.8,...,,1891/95,3843.2,3702.4,2041.2,175.4,15.2,,9698.4,...,2440,...,...,...,,1051.96,281.8,122.8,,6004.8,3644.8,492.2,233.6,173.2,348,,1313.2,...,,1891/95,2504.2,666.2,1702.4,209.4,...,...,...,504.8,345.8,135.6,88,,8409.04,342.4,580.8,3662.6,...,...,,442,4315,4757,,60210.4
134,1896/00,2234.2,8.8,48.4,424.4,269.2,937.8,545.6,,8409.6,6192.8,...,2216.8,922.2,667.2,,775,...,97.2,143.2,...,,11418.8,,9189,102.6,4895,...,,1896/00,4232,4108.8,2281.4,187.4,15.6,,10006.4,...,2194.4,...,...,...,,1065.48,261.6,148.2,,6299.2,3927.6,457,229.8,249,363,,1371,...,,1896/00,2711,711,1860.2,238.4,...,...,...,562,353.2,139.8,91.6,,8748.32,323.8,491.6,3781.2,...,...,,390.6,3089.4,3480,,58521.2
135,1901/05,2469,16.6,179.4,661.6,211,718.6,681.8,,9092.6,6451.6,6396.6,2641,1050.4,633.4,,875,8.8,111.2,160.8,...,,12436.6,,9058,265.2,4360.6,...,,1901/05,4398.8,4189,2596.4,223.2,20.8,,11040.4,3418.2,1775.8,7622.2,5175.4,2002.4,,1154.6,234.6,201.8,,6452.4,3823.4,457.6,237.6,373.2,420.8,,1353.6,1159.4,,1901/05,2987,787.2,2061.6,258.8,...,...,...,662.4,337.6,138.2,92.8,,8099.4,224.4,575.6,4013,3437.2,2375.4,,709.2,2310.6,3019.8,,60000.6
