,Jahr,"Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Total","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Pocken","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Schar-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Masern","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Typhus,","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Diph-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-",Infektions- und parasitäre Krankheiten | Tuberkulose | Total,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Total,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Epidem.,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Rotlauf,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Syphilis,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Atmungsorgane | Total | Aids,Atmungsorgane | Grippe | Aids,Atmungsorgane | Lungen- | entzün-,Atmungsorgane | Bron- | chitis,Atmungsorgane | Bron- | chitis,Jahr | Bron- | chitis,Neubildungen | Total | chitis,Neubildungen | Krebs (bösartige Geschwülste) | Total,"Neubildungen | Krebs (bösartige Geschwülste) | Magen,",Neubildungen | Krebs (bösartige Geschwülste) | Weibl.,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Nervensystem und Kreislauforgane | Total | Bron-,Nervensystem und Kreislauforgane | Nervensystem | Total,Nervensystem und Kreislauforgane | Nervensystem | Hirn-,Nervensystem und Kreislauforgane | Kreislauforgane | Total,Nervensystem und Kreislauforgane | Kreislauforgane | Herz-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,"Blut, Stoffwechsel 8) | Total | Arterien-","Blut, Stoffwechsel 8) | Anämie, | Leukä-","Blut, Stoffwechsel 8) | Zucker- | krankheit","Blut, Stoffwechsel 8) | Zucker- | krankheit","Ernährungsapparat, Verdauungsorgane | Total | krankheit","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Säuglinge","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Erwach-","Ernährungsapparat, Verdauungsorgane | Magen- | Darm-","Ernährungsapparat, Verdauungsorgane | Blind- | darm-","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose",Harnapparat | Total | zirrhose,Harnapparat | Nieren- | entzün-,Harnapparat | Nieren- | entzün-,Jahr | Nieren- | entzün-,Gewaltsamer Tod | Total | entzün-,Gewaltsamer Tod | Selbst- | tötung,Gewaltsamer Tod | Unfälle | Total,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Sturz,Gewaltsamer Tod | Unfälle | Er-,"Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache",Übrige bekannte Todesursachen | Total | unklare Ursache,Übrige bekannte Todesursachen | Chroni- | scher,Übrige bekannte Todesursachen | Schwanger- | schaft u.,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Alters- | schwäche,Übrige bekannte Todesursachen | Alters- | schwäche,Unbekannte Todesursachen | Arzt | beige-,Unbekannte Todesursachen | Arzt | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Gesamt- | total | nicht bei-
180,1901/05,74.46968625308895,0.5006872384776333,5.41104160137876,19.955101022698926,6.364157067396422,21.67432828735104,20.564371035786166,,274.2499267820318,194.59239685315055,192.93349335217042,79.6575299288813,31.68204068053651,19.10453595492367,,26.391646606501755,0.2654245601568177,3.354001260163423,4.850030599229123,...,,375.11125964162255,,273.2063256705062,7.998931062907731,131.52390193407035,...,,1901/05,132.67608582020563,126.34812301101239,78.31230999899562,6.7321320257956465,0.6273671421888417,,332.99924022219653,103.09934449182205,53.56146976437236,229.89989573037448,156.09980325404476,60.39615218841041,,34.82490876784791,7.07597747872607,6.086667754505204,,194.61652635861932,115.32093901177008,13.802077128154519,7.166463124234077,11.256414301195948,11.905947541399232,,40.827123253212314,34.96968580066073,,1901/05,90.093541044138,23.74343338130078,62.18173559310173,7.805895019157319,...,...,...,19.979230528167726,10.182651307834277,4.168372069735477,2.799022634380986,,229.16119657036344,6.3490841927043435,16.285797064708646,121.03963180787605,103.67242024670608,71.64653411323917,,21.390806598092624,69.69204417026623,91.08285076835885,,1809.7310072892217
181,1906/10,53.288169200264534,0.16410288911624415,4.029008863819512,12.058732989886769,4.204429193564462,14.961656511149984,17.870238752727555,,246.1203813524801,175.6579959981535,173.37753171146915,70.46238535432664,26.10367681011153,14.84848210486292,,25.639661744334564,0.5602133111209715,3.0613676900651066,5.155094206375808,...,,325.0482122970792,,237.72849912629428,19.217014187543626,117.23736747277059,...,,1906/10,129.94119457849362,122.76593721989369,74.82525871669297,7.152622477342504,0.7469510814946285,,347.4171336997176,99.85943738739175,49.64961203813539,247.55769631232587,167.01147135782173,66.8351456328262,,33.13746616085261,8.301342701156212,7.3280428070874555,,158.1668915064876,81.61572309391688,11.690916169453807,6.575433005278473,11.905947541399232,12.447735894852865,,39.990176461534396,35.474517650680504,,1906/10,86.58407952991902,23.014015518474654,59.0770400818479,7.6845421868917105,...,...,...,17.887214913670615,8.686135682532234,4.493023929596478,2.3879799726570705,,210.65235248087478,5.701659849097846,14.184877119905106,107.12523427102131,85.85410460936747,69.03638783510961,,21.333375585111742,49.677905639707156,71.0112812248189,,1652.7254660522096
182,1911/15,36.682454580550996,0.08525846503323882,2.4405235615764607,7.662604544862339,3.3037655200380036,11.00899929741696,12.181303191623995,,206.80506424624986,148.29111396312518,146.4154277323939,58.51395028312471,20.627219883979215,13.92910172480539,,24.2187327235044,0.8206127259449235,2.2753352855745606,4.651914998376093,...,,267.70625155030524,,204.39118395499628,18.293269403694303,104.07927118932628,...,,1911/15,129.67812531555623,122.61233002592655,74.78765979634416,7.662604544862339,0.9325144613010495,,337.54359172065705,88.51427266669562,42.83172137107334,249.0293190539614,155.26099347959243,83.63855419760726,,33.20817213044652,9.090683834169088,8.014295713124449,,127.05642751578414,58.151601806733446,10.193715225536616,6.511615266913615,11.120901032773087,11.47032211352606,,36.66113996429269,32.733921918699124,,1911/15,85.61015620150091,24.096173680019117,55.90823844554635,7.705233777378957,...,...,...,16.747959724966847,8.451245346419798,5.605744075935451,2.0994897014435057,,180.82132274717097,4.553544959640998,12.575958461609202,83.44672265128249,65.65967538372304,56.21197172722727,,20.440716991719004,35.4781787619565,55.918895753675514,,1461.6551385676523
183,1916/20,33.373449767495416,-,1.5038750327007668,5.606781480800769,2.1745928173199243,13.655394896230657,10.432805540443299,,199.06170249919663,145.6348389681269,143.5964857008077,53.426863531069756,17.307662832789664,13.582035138537938,,23.17644344820729,0.5763980961570884,2.4051520557827595,4.773624232719159,...,,255.61159571489935,,338.82776085190585,158.4570766162759,111.52779162370427,...,,1916/20,134.31123636998626,126.63466172571232,76.38846768889121,8.771731026972418,1.3361955865459776,,337.64876474613004,82.40396781969427,42.33382017139197,255.24479692643575,152.6721357239357,93.19309218321652,,29.045224063624914,7.781374298120693,7.335975769272034,,85.64227712355866,27.111670450152502,7.142096409655559,8.719331200049046,10.390885678904603,8.468373742371764,,36.49647945212837,32.72893189633795,,1916/20,76.70810663312379,20.582652015500393,50.09947452143565,6.869617309654026,...,...,...,15.88762752316629,6.984896928885444,6.025980096187742,1.5300749461624528,,159.48169223156853,4.618175820550882,11.024863928748143,63.07891165035482,49.62787607912531,58.72972601571497,,25.770234880914188,36.80563843097626,62.57587331189045,,1519.0028627335444
184,1921/25,18.024286656770574,0.0773132112815438,0.7525152564736929,2.4018637638132936,1.6132690087415473,7.2158997196107535,5.963425696849745,,156.7087250536038,119.47983671449775,116.98519709714661,37.22888833910605,11.937159821870361,7.571540491505855,,23.838240145142667,0.7164357578756392,2.108073560943427,5.504700643245918,...,,198.57125185551706,,163.65660564077186,27.32764308098301,89.26583374567046,30.15215239980208,,1921/25,141.39555500577274,133.3446726043213,77.95233382813788,9.530141843971633,2.041068777832756,,327.2719775688603,77.93171697179613,41.774905162460826,249.34026059706417,149.539213260762,89.95134421903347,,28.461570179778988,7.360217714002968,8.684850733960085,,75.10720765297707,20.97249711364011,2.1596157017977897,7.721012699983507,9.994021111660894,7.384178629673626,,41.39864753422398,35.703240969816925,,1921/25,77.51937984496124,23.1888091703777,47.59916707900379,9.38066963549398,7.324138215404914,2.1493072736269174,0.04123371268349002,13.014390565726538,6.087126834900214,6.731403595579745,1.3813293748969158,,139.2624881712203,10.479795437614511,9.296917470352547,51.81531420089064,38.069025235032164,54.90268843806696,,19.972579581065478,34.75486557809665,54.72744515916212,,1250.7112815437902
185,1926/30,13.736484990033624,0.0050335232649445305,0.8003301991261803,2.6224656210361004,1.4446211770390802,4.520103891920188,4.3439305776471295,,136.74572653874804,104.77782028308533,102.89024905873114,31.967906255662715,9.54356011033483,7.0016308615378415,,23.204542251394287,0.6392574546479554,2.058711015362313,4.726478345782914,...,,173.68675378017596,,154.5744659431816,32.75313588499406,80.34006483177964,26.72297501359051,,1926/30,147.85974590774558,140.45039966174724,81.9054905671774,10.771739786981295,3.407695250367447,,354.3097026194455,83.83332997765115,47.451023818632095,270.47637264179434,159.0492681257173,101.44562788169208,,29.994765135804457,7.5502848974167955,10.318722693136287,,72.84514869027726,13.399238931282339,2.0436104455674795,8.194575875329695,11.853947288944369,8.62187684438324,,33.20615297883907,27.231360863349906,,1926/30,86.65713652928503,25.474661243884274,56.249622485755125,15.125737411158314,13.18783095415467,2.058711015362313,0.040268186119556244,15.452916423379708,6.145931906497271,4.93285279964564,1.5654257353977492,,122.84576037772968,9.54160928585481,7.362777887074562,44.33527291763142,31.384017556929145,43.157428473634404,,15.301910725431373,19.394165139831276,34.69607586526264,,1213.5522580385366
186,1931/35,8.346448947471965,-,0.7574267165060004,1.5000983671060397,0.8853039543576628,2.6362384418650406,2.567381467637222,,109.88097580169192,84.22683454652764,82.82018493015936,25.654141255164276,6.708636631910289,5.597088333661223,,20.543970096399764,0.8656305331497147,2.1788313987802477,6.231556167617549,...,,138.77139484556363,,141.90930552823136,35.78103482195554,67.9864253393665,19.147157190635454,,1931/35,155.83316938815662,145.59315364941963,83.50875467243753,11.631910289199292,4.436356482392288,,371.53747786740115,67.51918158567774,38.333661223686796,304.0182962817234,168.24709817037183,119.23076923076923,,30.05606925044265,6.6250245917765085,12.945111154829824,,74.79834743261853,8.71532559512099,...,8.312020460358056,12.964784576037774,13.384376069282872,,35.82530001967342,28.6740114105843,,1931/35,90.06984064528821,27.27719850481999,57.682470981703716,16.943734015345267,15.256738146763722,1.6968325791855203,0.14755065905961046,17.13554987212276,4.9872122762148345,5.110171158764509,1.7263427109974423,,117.51174943468656,2.798813216783326,7.292276631721909,39.66653551052528,27.001770607908714,39.25831202046036,,24.414715719063544,14.23372024395042,38.648435963013966,,1197.8408420224278
187,1936/40,6.010487388358018,-,0.7297077340498552,1.0849601835214953,0.6144907234104044,0.9889460079886195,2.5923827393876433,,84.94854180271176,65.62568897672053,64.62714155117862,19.322852825991234,4.690292474780977,4.272630811212967,,18.74196706401733,2.0355005212969646,1.2145793204908775,5.242373984095012,...,,109.70099625508712,,133.99258266490466,29.298725663857013,69.98473254591309,16.716067960273655,,1936/40,171.27008631554364,157.91451449892065,86.97924161523208,13.06752929002438,6.312932041286576,,399.75021912235127,61.300250368964484,33.1344919763954,338.44996875338677,188.43262019204516,126.05221034833582,,29.908415678490773,6.288928497403356,14.699770274083265,,68.76535251664558,5.6840391915462405,...,7.071444027996295,11.915359183629871,11.032179221103766,,36.95585616260385,28.650629979010102,,1936/40,81.28080029735591,24.88207358934473,52.10209235291499,15.362268085260109,13.648415051998278,1.6946501981552557,0.1872276422891076,17.35456222756728,3.5669266210463317,4.296634355096187,1.267387117033959,,108.3104004193447,1.5097159835084628,5.996666903438894,37.560745468460965,24.646838859289186,34.36827413199285,,18.554739421728225,9.05893746152682,27.61367688325505,,1170.1391593454857
188,1941/45,6.371751619838512,-,0.24380506565975174,0.41728174699457504,0.6751524895193125,3.197597207306744,1.8379151103581286,,81.56686014005193,62.92514973499092,62.053077769361806,18.64171040506102,4.360359828145559,4.168128910990756,,19.76696455425987,2.4286735386875264,0.6235783410143649,5.002692404979905,...,,107.70557631415032,,97.10474451690611,12.551272322522216,55.81260580026317,12.246515990447527,,1941/45,180.48607697254118,165.0747836874719,87.05247411739634,14.47358149407026,8.42534044212642,,431.30053827001075,59.99011182916391,31.793118273822625,371.31042644084687,202.49417270728878,136.90123292690558,,25.496383597264032,6.381128737748501,10.033516163689782,,63.375251394670464,6.5030312705783775,...,9.428692058495399,8.022124371996831,8.44032672304315,,30.40999338209903,25.018150583854528,,1941/45,82.47175201836602,25.341661151749197,52.48841750117155,9.048918783140785,6.676507951913201,2.4661820103274885,0.046885589549952256,18.857384116990797,4.730755985590183,4.641673365445273,1.4206333633635533,,105.58202900777725,1.4475494379889309,4.200120369303266,46.308896798487844,30.949177661923482,28.257944821756226,,13.86406882992088,5.785681750464108,19.649750580384993,,1149.1423570745549
189,1946/50,5.340343926611471,-,0.2538779014319048,0.31623387722219715,0.3964058460954303,2.743662934772866,1.6301633670890727,,55.483456458548034,43.52001710335337,42.99444530740661,11.963439355194671,3.010902831016976,2.1913671492017044,,15.562269957948688,1.4965434189670177,0.3741358547417544,3.5231126321515207,...,,76.38607034310819,,76.31035237250569,10.738589830742498,42.22390360656942,8.591762664248147,,1946/50,183.46909676812317,166.14304349496336,82.41233000341288,15.49545998388766,12.163869277377755,,469.26880380638687,51.33678406849358,28.40314697247819,417.9320197378933,216.856267805554,150.06856373588013,,27.031315505091758,8.386878743794329,11.139449675108663,,56.72166797781241,5.108736016533242,...,7.839036956493901,6.885881326556575,9.582200775738325,,28.36306098804157,22.77329315826893,,1946/50,81.12067050489968,24.688512414685054,53.49697322980014,17.147893342330413,14.511126366055189,2.543233012589783,0.21379191699528824,17.005365397666885,3.937334471329892,2.9351848604144783,0.9487016316665915,,91.8347263367573,2.1421033164001124,3.0540878966496656,46.08552010729682,29.031160728651844,21.15203778772133,,7.741048994537729,2.6768529607118383,10.417901955249565,,1105.5180027826354
190,1951/55,1.577945413268994,-,0.0593850424348546,0.3944863533172485,0.2375401697394184,0.28844163468357953,0.5980922130938928,,25.81552630418037,20.32665166770166,19.978824990583227,5.488874636478704,1.0646889750820363,1.0689307638273828,,12.992598926997118,1.6415722444491954,0.14846260608713652,2.3372255986860635,...,,40.386070644446484,,64.32248453443825,15.698860146528352,27.291668787561036,8.39874171578658,,1951/55,188.39904712457624,170.41810463305134,78.04891291438034,16.2927105708769,16.91625351644287,,486.5289273025278,46.456070339037694,28.313939875189607,440.0728569634901,194.52419007285695,170.88894318378482,,28.36908312887911,7.291634853251076,14.540851819048687,,51.81344952441065,2.3075330774686362,...,7.283151275760383,4.4453946051234015,12.003091860817367,,25.514359303260747,20.504806795006225,,1951/55,81.30236488206131,22.42209530790296,57.04781683616854,21.696749432448666,19.423150664942803,2.1208943726733787,0.279958057192886,18.103954365139963,3.940621744427138,1.8324527379897995,1.1028650737901569,,72.84267935114298,1.5457332488306204,1.9124505757215582,37.69253479115129,21.896113503479963,16.542976106852354,,1.0774143413180763,0.5429489594043849,1.6203633007224616,,1046.6147132381136
191,1956/60,0.7925826097320274,-,0.03154557650674735,0.17350067078711046,0.15378468547039334,0.14589829134370652,0.2878533856240696,,15.697867509170152,12.803560864676081,12.578798632065508,2.89430664449407,0.3075693709407867,0.61119554481823,,10.895053486017868,0.7137186684651589,0.15378468547039334,1.691631540174327,...,,27.385503604920046,,65.24019541301686,20.670239006046202,23.60792081823705,7.772041411849878,,1956/60,187.7001234122101,167.09691875624074,69.10452853509342,16.226255915658168,19.506995872359894,,477.6749490563584,40.77660083203429,24.601606478199592,436.8983482243241,174.87290336515395,183.01560530095813,,26.379988353767477,7.089868319891468,13.572484292028047,,48.871984403078336,1.6640291607309228,...,7.097754714018155,3.0914664976612407,12.10154021109728,,21.88080050449263,15.445502897116173,,1956/60,80.2637762243553,20.835853282706626,58.079349545985224,24.881573469696974,22.728587873111465,2.0386328817485477,0.24053502086394857,17.760159573298758,3.9629130486601363,1.3485733956634494,0.6664003037050378,,60.50401717718774,1.5361772505411158,1.1567377857791614,32.85866112884071,18.391071103433706,11.017292594981512,,1.2342206808264902,0.536274800614705,1.7704954814411948,,1001.9308850219927
